asv	kingdom	phylum	class	order	family	genus	species
0f793410f37425f3878413f359c22686	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
117de6f9352ca093eefb4e5b5b72d18b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
e450bc5613e5719ca5d7539b4520b5f7	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
6ba48d3bea4f73afb74a5aa8d0d5364d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d89200a85873e223d838f4ef0ca9bcb4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
76f1650386234fd77c67751296ada883	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
dbc282ca26e3f8cf6e2c621d4cbe5bff	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
0aba9ac721454dcb2834d96461053690	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
353d5f7812bbece15d4d73ddb1064bb4	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
dc4d35a196528f8d044a02adf9deeb18	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
7c9db1ddc64c5bcaf418f847c27eb06c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA
f5e5740f09c5a453246e5426118a0efb	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
3c256a28a9b93f0cb8c62ed2ebfa55bf	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA
9b7f794f7a37bf75ef1d8c111c7dc891	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	wallaby gut metagenome
0611e872eaa0f8a1865d4f43380da123	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
00bf0958c6275f12aa75f11d79029099	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
34358adb2d1703b3d056c559972ac9c0	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
23c239bb0ac3399f73847637290ba52c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
5b1ff6df993eebbfa53f4aca9acab279	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	uncultured	uncultured bacterium
6b85fbe0a53d8ac1b0975c0f488f1e81	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	uncultured bacterium
f98fd1106e862c90d5e02be457392a29	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	uncultured bacterium
4cf180e6a6caadc7252119fb5347e440	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
62e9f1bc9dba18d3604def6017ae1da9	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
723f20f68d3cf08a116eef67dbd05e5a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
03e13fec90b9475c5211a566b42da42b	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
57c8c7ef913a6de0ebc02c208320abe6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	uncultured bacterium
23db45b5aeb031c5d2cdcabf5c192ec4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
962c638d5805bdb3b29413bb266a69d9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
35451ef9f1742fae59aa48d51c7075de	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
3feabeef704b7f7909cccd3f316bfbe0	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis	NA	NA
392c7f33a1d36038723b06d5e06263ad	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
881213da5ff83f2a0bc875cd2e68333b	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
7fa1267c5905642f3c81ab0308716780	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
340f7d8d571641d29d8b1c9b44fedad6	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-013	NA
16198d5155e5fee4053e664b479550f3	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	uncultured bacterium
21af1e4d6eae650a28d4c6b634368b11	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
d3e577223928b5384c48c00724883b71	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
9ee82f9c901fcce8e8634594629017d7	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
b31dc44bac0bcb68a0378e5defd35e39	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
86acbf5ae0ef519a3bfa3e2dbff8ce3c	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	uncultured bacterium
12e9595ce0584df3efb1c92d0d157b29	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
cec53bf780d1bedbb7ecd616e2691e7d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
92fc4d714ea3a17511edbc57c6726b35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	uncultured bacterium	uncultured bacterium
4022f7ecf1f9b1a64f570bf20deeac12	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	uncultured bacterium	uncultured bacterium	uncultured bacterium
94d62128a40d662d180ae51a446f6a10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d154053d2e2daa3270fb3af3b4af626a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
daf3f1f0f443a89bf43a63917e42b97b	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	NA
d6f9726a2441e9b679fe0f66f6b3a4a0	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	uncultured bacterium
4851bb1430da9c0e777e925be73b1e42	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
02250cdea5fd4b3f08506421a0b358e3	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
4a895fe3ad0ee19578000e40b9521f1c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d1f13dff29ace1631720e8a8cca41c4e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
16af7ae2baa5dcc4d2e94003f378ddde	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
324db8fecd51956c1c3f08c38d7c2ed4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
059c5677913e355fdbcda04b944b612a	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
f7621db773e1fc37d79ab41b42c0bc91	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus 1	uncultured bacterium
9587d5e3e0cf7dfb8421292d7ea42336	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	uncultured bacterium
c137b87421170a82ae0ff766b3a86c4c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
c4d8be993ffd79f83a21921120046d33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
813a4e130accc19b3f42aa9b429a3692	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1be142a14d3ca0a49bcfb08c2ac9f277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
08be1121ec7e854eeb548a65b06be640	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	uncultured	NA
5a4113c4524d14d4125c009ad0d1fe0d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
796caa874cf08222d82d6f57b464c214	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella 1	NA
01d598f1b1dd557b1fe918137d03698f	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
5ad6151bf64df2c20da0efa08456c964	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
2f7acdbaecf73c0c1c22ece3fd6d6f1f	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	NA
2a5cb2280758aa8250a4df4bf256db64	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
5797702f28f8f44ea61fe7e7f07ec17c	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	uncultured	uncultured bacterium
d1776f8eb42d77b11caefd95154545b1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
3ca3abfe4f322262b8c72a8318e1df4f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
4757dbc65772f389c07f6420f86836c9	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
87c4714d91ff0416edf033525647e7ee	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	NA
bc10c3ba280c76b24552d0eecb8f3ccb	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	NA
74ecfb962ef756dc2132ace9a014cd61	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
849d3c66bf8a1d3bbe73e0d18969eff8	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Candidatus Saccharimonas	uncultured bacterium
ec8e8fc2d0e0b7ff79328311a69d2f84	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
da809c377a30388218e174cbe67c8e58	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-014	NA
1b8931ee56053f4db30b872c7cda2954	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
5b56d594b1632e8760340d9077380ac4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
0bee1e43930c6fa41c6fd4e727550c98	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured Clostridiales bacterium
c0396b2ba3e639f4ff2ce826a34e2e08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f3370fea9a722c478f173278964db1a9	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	uncultured bacterium
81d17a2e72c83cb2d48481564d2a25f4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
5380895f21ecc363a56e82b01f021565	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
3b076ac41ea75ab6a79ce6911b3a76be	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	NA
5db47d6d9bad2da7c26035e87ee888a9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
cc09a57c14296b26ed64ce09b84b8d03	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
325a26a5ec530ddc3ea1a956f9ff3974	Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	NA	NA	NA
31aba921babd6f098a4e57a54ca980ee	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
1b5f71cc6f883e7e631c20dfbbaf686f	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
17fef0decc6d531de35224c5ec005532	Bacteria	Proteobacteria	Deltaproteobacteria	Rs-K70 termite group	NA	NA	NA
a57a938b98370a89a7bea20761a21fd4	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured bacterium
f8504000910bfd3d8c382b4da3847d9a	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
20ca2dd4e3da9b60b9e14d7708150e54	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA
3a674e5a2fdbd39dd624307528360688	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	uncultured bacterium
5144ff04c33d38bc8cb1d29f67c5cb70	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b50bcf54500359f1dad6602466ea7457	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
9e67db554987c73e36353fec3d6f211f	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae	CHKCI002	uncultured bacterium
ef474f707291cf3263a113d3fc704676	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
033edf3a178eeb45f9cd036f033a8378	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
69ee277f9ff3ad102c5b5b3e12153c35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
d6202f961314179d428a18d4d57c8b04	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
d7d29b00a79321323ecb846e349311c3	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	NA
73b8039f25d1ab8ee36ca9fe1c81c244	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
0dd380708530f9edc8443f75e4a01904	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
a52b14bde10a5fe3e1ff703a494a3f92	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
429b6048263deb9317f7c27a461f29a7	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
c443276ca2a82d3d1f541d779f38f1c9	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
4ed876d719a68b3e41e8388a2cc01a67	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
db18b861110f193ece0bbc5fc792163a	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerofilum	NA
ffa6e3600ea3f9eda700c6ba1685278c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
2d9a9e86d9adc1a73a1a0ea1000cd765	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA	NA
4394468b49611f78b96b64d72449fab5	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum
9f8ddf58229b612e0bdf194c78bfb03c	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
f0a1fec66bb3b5f56bcd7f15a6688032	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
018770835b4dd064ac19da5b337d25d1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	NA
aebef17cec49ba2dba6019e32cd77f73	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	NA
b0e99fd1f9ea593d87b2bd90e893bae1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
b9da7815e597ca38db1eefa3a1b41da6	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
df829f8d3288011e9fbef9d3511e2e4c	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	NA
bcdcaa15b928ff1ff3042560ea95c77e	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium] coprostanoligenes group	uncultured bacterium
6a9b6f1387568f5d9e7ed6ecf01ddf93	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
ed1eb784b661ca0cc28285faeeb8d32d	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
a4d7f7d18ba066e783bba9a89562ff93	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema 2	uncultured bacterium
0c87b10deb6918d1599c5c2649be46ce	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unidentified
7316100b95aec32f83f41013d38ca2ef	Bacteria	Bacteroidetes	Bacteroidia	NA	NA	NA	NA
db1fd1a28ac422b5f4552056cf91e0ce	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	uncultured	bacterium YE59
ede3dbaf4f9cf05c609f35b4306c9cd3	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas 3	NA
97999873329e45aa8b0fbb1694a4c74e	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
44e65ccb59f6f10bd5f47001865469c0	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	NA
b82c5e1547bdeb4ab385fab32a463068	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae	uncultured bacterium	uncultured bacterium
